         95906 function calls (92824 primitive calls) in 4.176 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 connection.py:65(DummyConnection)
        1    0.000    0.000    0.000    0.000 connection.py:70(HTTPConnection)
        1    0.000    0.000    0.066    0.066 connectionpool.py:1(<module>)
        1    0.000    0.000    0.000    0.000 connectionpool.py:58(ConnectionPool)
        1    0.000    0.000    0.000    0.000 connectionpool.py:731(HTTPSConnectionPool)
        1    0.000    0.000    0.000    0.000 connectionpool.py:97(HTTPConnectionPool)
        3    0.000    0.000    0.000    0.000 contextlib.py:103(contextmanager)
        1    0.000    0.000    0.000    0.000 cookiejar.py:1219(Absent)
        1    0.000    0.000    0.000    0.000 cookiejar.py:1221(CookieJar)
        1    0.000    0.000    0.000    0.000 cookiejar.py:1750(LoadError)
        1    0.000    0.000    0.000    0.000 cookiejar.py:1752(FileCookieJar)
        1    0.000    0.000    0.000    0.000 cookiejar.py:1838(LWPCookieJar)
        1    0.000    0.000    0.000    0.000 cookiejar.py:1958(MozillaCookieJar)
        1    0.000    0.000    0.006    0.006 cookiejar.py:26(<module>)
        1    0.000    0.000    0.000    0.000 cookiejar.py:729(Cookie)
        1    0.000    0.000    0.000    0.000 cookiejar.py:827(CookiePolicy)
        1    0.000    0.000    0.000    0.000 cookiejar.py:860(DefaultCookiePolicy)
        1    0.000    0.000    0.000    0.000 cookies.py:10(<module>)
        1    0.000    0.000    0.000    0.000 cookies.py:100(MockResponse)
        1    0.000    0.000    0.004    0.004 cookies.py:127(<module>)
        1    0.000    0.000    0.000    0.000 cookies.py:150(CookieError)
        1    0.000    0.000    0.000    0.000 cookies.py:168(CookieConflictError)
        1    0.000    0.000    0.000    0.000 cookies.py:170(<dictcomp>)
        1    0.000    0.000    0.000    0.000 cookies.py:174(RequestsCookieJar)
        1    0.000    0.000    0.000    0.000 cookies.py:259(Morsel)
        1    0.000    0.000    0.000    0.000 cookies.py:28(MockRequest)
        1    0.000    0.000    0.000    0.000 cookies.py:484(BaseCookie)
        1    0.000    0.000    0.000    0.000 cookies.py:624(SimpleCookie)
        1    0.000    0.000    4.132    4.132 data.py:1(<module>)
        1    0.000    0.000    0.000    0.000 datetime.py:1004(time)
        2    0.000    0.000    0.000    0.000 datetime.py:1029(__new__)
        1    0.000    0.000    0.000    0.000 datetime.py:1310(datetime)
        3    0.000    0.000    0.000    0.000 datetime.py:1318(__new__)
        1    0.000    0.000    0.000    0.000 datetime.py:1814(timezone)
        3    0.000    0.000    0.000    0.000 datetime.py:1837(_create)
       35    0.000    0.000    0.000    0.000 datetime.py:247(_check_int_field)
        5    0.000    0.000    0.000    0.000 datetime.py:264(_check_date_fields)
        5    0.000    0.000    0.000    0.000 datetime.py:277(_check_time_fields)
        5    0.000    0.000    0.000    0.000 datetime.py:292(_check_tzinfo_arg)
        1    0.000    0.000    0.000    0.000 datetime.py:319(timedelta)
        9    0.000    0.000    0.000    0.000 datetime.py:338(__new__)
        3    0.000    0.000    0.000    0.000 datetime.py:40(_days_before_year)
        5    0.000    0.000    0.000    0.000 datetime.py:45(_days_in_month)
        1    0.000    0.000    0.001    0.001 datetime.py:5(<module>)
        1    0.000    0.000    0.000    0.000 datetime.py:513(__neg__)
        1    0.000    0.000    0.000    0.000 datetime.py:641(date)
        2    0.000    0.000    0.000    0.000 datetime.py:671(__new__)
        1    0.000    0.000    0.000    0.000 datetime.py:934(tzinfo)
        1    0.000    0.000    0.002    0.002 decoder.py:2(<module>)
        1    0.000    0.000    0.000    0.000 decoder.py:20(JSONDecodeError)
        1    0.000    0.000    0.000    0.000 decoder.py:253(JSONDecoder)
        1    0.000    0.000    0.000    0.000 decoder.py:283(__init__)
        1    0.000    0.000    0.000    0.000 difflib.py:1703(HtmlDiff)
        1    0.000    0.000    0.001    0.001 difflib.py:27(<module>)
        1    0.000    0.000    0.000    0.000 difflib.py:43(SequenceMatcher)
        1    0.000    0.000    0.000    0.000 difflib.py:751(Differ)
        3    0.000    0.000    0.000    0.000 dyld.py:116(dyld_find)
        1    0.000    0.000    0.003    0.003 dyld.py:3(<module>)
        8    0.000    0.000    0.000    0.000 dyld.py:31(dyld_env)
        3    0.000    0.000    0.000    0.000 dyld.py:39(dyld_image_suffix)
        1    0.000    0.000    0.000    0.000 dyld.py:44(dyld_framework_path)
        3    0.000    0.000    0.000    0.000 dyld.py:47(dyld_library_path)
        1    0.000    0.000    0.000    0.000 dyld.py:50(dyld_fallback_framework_path)
        3    0.000    0.000    0.000    0.000 dyld.py:53(dyld_fallback_library_path)
        3    0.000    0.000    0.000    0.000 dyld.py:56(dyld_image_suffix_search)
        3    0.000    0.000    0.000    0.000 dyld.py:70(dyld_override_search)
        3    0.000    0.000    0.000    0.000 dyld.py:87(dyld_executable_path_search)
       22    0.000    0.000    0.000    0.000 dyld.py:94(dyld_default_search)
        1    0.000    0.000    0.001    0.001 dylib.py:3(<module>)
        1    0.000    0.000    0.000    0.000 encoder.py:105(__init__)
        1    0.000    0.000    0.001    0.001 encoder.py:2(<module>)
        1    0.000    0.000    0.000    0.000 encoder.py:74(JSONEncoder)
        1    0.000    0.000    0.000    0.000 encoders.py:5(<module>)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
        1    0.000    0.000    0.000    0.000 enum.py:1(<module>)
       10    0.000    0.000    0.000    0.000 enum.py:121(<setcomp>)
       29    0.000    0.000    0.000    0.000 enum.py:140(<genexpr>)
      152    0.000    0.000    0.000    0.000 enum.py:16(_is_dunder)
        6    0.000    0.000    0.002    0.000 enum.py:209(__call__)
      144    0.000    0.000    0.000    0.000 enum.py:24(_is_sunder)
        8    0.000    0.000    0.000    0.000 enum.py:254(__getattr__)
       10    0.000    0.000    0.000    0.000 enum.py:279(__members__)
      183    0.000    0.000    0.000    0.000 enum.py:295(__setattr__)
        6    0.000    0.000    0.002    0.000 enum.py:308(_create_)
        1    0.000    0.000    0.000    0.000 enum.py:32(_make_class_unpicklable)
       10    0.000    0.000    0.000    0.000 enum.py:355(_get_mixins_)
        1    0.000    0.000    0.000    0.000 enum.py:40(_EnumDict)
       10    0.000    0.000    0.000    0.000 enum.py:400(_find_new_)
        1    0.000    0.000    0.000    0.000 enum.py:447(Enum)
       10    0.000    0.000    0.000    0.000 enum.py:47(__init__)
      144    0.000    0.000    0.001    0.000 enum.py:51(__setitem__)
        6    0.000    0.000    0.003    0.001 enum.py:526(_convert)
        6    0.000    0.000    0.001    0.000 enum.py:541(<dictcomp>)
        1    0.000    0.000    0.000    0.000 enum.py:550(IntEnum)
      118    0.000    0.000    0.000    0.000 enum.py:8(_is_descriptor)
        1    0.000    0.000    0.000    0.000 enum.py:82(EnumMeta)
       10    0.000    0.000    0.000    0.000 enum.py:84(__prepare__)
       10    0.001    0.000    0.003    0.000 enum.py:88(__new__)
       10    0.000    0.000    0.000    0.000 enum.py:99(<dictcomp>)
        1    0.000    0.000    0.001    0.001 error.py:12(<module>)
        1    0.000    0.000    0.000    0.000 error.py:23(URLError)
        1    0.000    0.000    0.000    0.000 error.py:39(HTTPError)
        1    0.000    0.000    0.000    0.000 error.py:77(ContentTooShortError)
        1    0.000    0.000    0.000    0.000 errors.py:101(ObsoleteHeaderDefect)
        1    0.000    0.000    0.000    0.000 errors.py:104(NonASCIILocalPartDefect)
        1    0.000    0.000    0.000    0.000 errors.py:12(MessageParseError)
        1    0.000    0.000    0.000    0.000 errors.py:16(HeaderParseError)
        1    0.000    0.000    0.000    0.000 errors.py:20(BoundaryError)
        1    0.000    0.000    0.000    0.000 errors.py:24(MultipartConversionError)
        1    0.000    0.000    0.000    0.000 errors.py:28(CharsetError)
        1    0.000    0.000    0.000    0.000 errors.py:33(MessageDefect)
        1    0.000    0.000    0.000    0.000 errors.py:41(NoBoundaryInMultipartDefect)
        1    0.000    0.000    0.000    0.000 errors.py:44(StartBoundaryNotFoundDefect)
        1    0.000    0.000    0.000    0.000 errors.py:47(CloseBoundaryNotFoundDefect)
        1    0.000    0.000    0.000    0.000 errors.py:5(<module>)
        1    0.000    0.000    0.000    0.000 errors.py:50(FirstHeaderLineIsContinuationDefect)
        1    0.000    0.000    0.000    0.000 errors.py:53(MisplacedEnvelopeHeaderDefect)
        1    0.000    0.000    0.000    0.000 errors.py:56(MissingHeaderBodySeparatorDefect)
        1    0.000    0.000    0.000    0.000 errors.py:61(MultipartInvariantViolationDefect)
        1    0.000    0.000    0.000    0.000 errors.py:64(InvalidMultipartContentTransferEncodingDefect)
        1    0.000    0.000    0.000    0.000 errors.py:67(UndecodableBytesDefect)
        1    0.000    0.000    0.000    0.000 errors.py:70(InvalidBase64PaddingDefect)
        1    0.000    0.000    0.000    0.000 errors.py:73(InvalidBase64CharactersDefect)
        1    0.000    0.000    0.000    0.000 errors.py:78(HeaderDefect)
        1    0.000    0.000    0.000    0.000 errors.py:8(MessageError)
        1    0.000    0.000    0.000    0.000 errors.py:84(InvalidHeaderDefect)
        1    0.000    0.000    0.000    0.000 errors.py:87(HeaderMissingRequiredValue)
        1    0.000    0.000    0.000    0.000 errors.py:90(NonPrintableDefect)
        1    0.000    0.000    0.039    0.039 exceptions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 exceptions.py:100(RetryError)
        1    0.000    0.000    0.000    0.000 exceptions.py:103(UnrewindableBodyError)
        1    0.000    0.000    0.000    0.000 exceptions.py:108(ReadTimeoutError)
        1    0.000    0.000    0.000    0.000 exceptions.py:109(RequestsWarning)
        1    0.000    0.000    0.000    0.000 exceptions.py:114(FileModeWarning)
        1    0.000    0.000    0.000    0.000 exceptions.py:115(ConnectTimeoutError)
        1    0.000    0.000    0.000    0.000 exceptions.py:12(RequestException)
        1    0.000    0.000    0.000    0.000 exceptions.py:120(NewConnectionError)
        1    0.000    0.000    0.000    0.000 exceptions.py:125(EmptyPoolError)
        1    0.000    0.000    0.000    0.000 exceptions.py:13(HTTPWarning)
        1    0.000    0.000    0.000    0.000 exceptions.py:130(ClosedPoolError)
        1    0.000    0.000    0.000    0.000 exceptions.py:135(LocationValueError)
        1    0.000    0.000    0.000    0.000 exceptions.py:140(LocationParseError)
        1    0.000    0.000    0.000    0.000 exceptions.py:150(ResponseError)
        1    0.000    0.000    0.000    0.000 exceptions.py:156(SecurityWarning)
        1    0.000    0.000    0.000    0.000 exceptions.py:161(SubjectAltNameWarning)
        1    0.000    0.000    0.000    0.000 exceptions.py:166(InsecureRequestWarning)
        1    0.000    0.000    0.000    0.000 exceptions.py:171(SystemTimeWarning)
        1    0.000    0.000    0.000    0.000 exceptions.py:176(InsecurePlatformWarning)
        1    0.000    0.000    0.000    0.000 exceptions.py:18(PoolError)
        1    0.000    0.000    0.000    0.000 exceptions.py:181(SNIMissingWarning)
        1    0.000    0.000    0.000    0.000 exceptions.py:186(DependencyWarning)
        1    0.000    0.000    0.000    0.000 exceptions.py:194(ResponseNotChunked)
        1    0.000    0.000    0.000    0.000 exceptions.py:199(BodyNotHttplibCompatible)
        1    0.000    0.000    0.000    0.000 exceptions.py:207(IncompleteRead)
        1    0.000    0.000    0.000    0.000 exceptions.py:223(InvalidHeader)
        1    0.000    0.000    0.000    0.000 exceptions.py:228(ProxySchemeUnknown)
        1    0.000    0.000    0.000    0.000 exceptions.py:237(HeaderParsingError)
        1    0.000    0.000    0.000    0.000 exceptions.py:244(UnrewindableBodyError)
        1    0.000    0.000    0.000    0.000 exceptions.py:28(HTTPError)
        1    0.000    0.000    0.000    0.000 exceptions.py:29(RequestError)
        1    0.000    0.000    0.000    0.000 exceptions.py:32(ConnectionError)
        1    0.000    0.000    0.000    0.000 exceptions.py:36(ProxyError)
        2    0.000    0.000    0.000    0.000 exceptions.py:40(SSLError)
        1    0.000    0.000    0.000    0.000 exceptions.py:44(Timeout)
        1    0.000    0.000    0.000    0.000 exceptions.py:45(ProxyError)
        1    0.000    0.000    0.000    0.000 exceptions.py:50(DecodeError)
        1    0.000    0.000    0.000    0.000 exceptions.py:53(ConnectTimeout)
        1    0.000    0.000    0.000    0.000 exceptions.py:55(ProtocolError)
        1    0.000    0.000    0.000    0.000 exceptions.py:60(ReadTimeout)
        1    0.000    0.000    0.000    0.000 exceptions.py:64(URLRequired)
        1    0.000    0.000    0.000    0.000 exceptions.py:66(MaxRetryError)
        1    0.000    0.000    0.000    0.000 exceptions.py:68(TooManyRedirects)
        1    0.000    0.000    0.000    0.000 exceptions.py:72(MissingSchema)
        1    0.000    0.000    0.000    0.000 exceptions.py:76(InvalidSchema)
        1    0.000    0.000    0.000    0.000 exceptions.py:8(<module>)
        1    0.000    0.000    0.000    0.000 exceptions.py:8(HTTPError)
        1    0.000    0.000    0.000    0.000 exceptions.py:80(InvalidURL)
        1    0.000    0.000    0.000    0.000 exceptions.py:84(InvalidHeader)
        1    0.000    0.000    0.000    0.000 exceptions.py:85(HostChangedError)
        1    0.000    0.000    0.000    0.000 exceptions.py:88(ChunkedEncodingError)
        1    0.000    0.000    0.000    0.000 exceptions.py:92(ContentDecodingError)
        1    0.000    0.000    0.000    0.000 exceptions.py:94(TimeoutStateError)
        1    0.000    0.000    0.000    0.000 exceptions.py:96(StreamConsumedError)
        1    0.000    0.000    0.000    0.000 exceptions.py:99(TimeoutError)
        1    0.000    0.000    0.000    0.000 facade.py:1(<module>)
        1    0.000    0.000    0.000    0.000 facade.py:1(BusData)
        1    0.000    0.000    0.000    0.000 facade.py:2(__init__)
        1    0.000    0.000    0.000    0.000 feedparser.py:136(FeedParser)
        1    0.000    0.000    0.020    0.020 feedparser.py:20(<module>)
        1    0.000    0.000    0.000    0.000 feedparser.py:45(BufferedSubFile)
        1    0.000    0.000    0.000    0.000 feedparser.py:531(BytesFeedParser)
        1    0.000    0.000    0.001    0.001 fields.py:1(<module>)
        1    0.000    0.000    0.000    0.000 fields.py:50(RequestField)
        1    0.000    0.000    0.011    0.011 filepost.py:1(<module>)
        1    0.000    0.000    0.000    0.000 fnmatch.py:11(<module>)
        6    0.000    0.000    0.000    0.000 framework.py:19(framework_info)
        1    0.000    0.000    0.001    0.001 framework.py:3(<module>)
        2    0.000    0.000    0.000    0.000 functools.py:192(total_ordering)
        2    0.000    0.000    0.000    0.000 functools.py:195(<listcomp>)
        4    0.000    0.000    0.000    0.000 functools.py:391(lru_cache)
        4    0.000    0.000    0.000    0.000 functools.py:422(decorating_function)
       15    0.000    0.000    0.000    0.000 functools.py:43(update_wrapper)
       11    0.000    0.000    0.000    0.000 functools.py:73(wraps)
       32    0.000    0.000    0.000    0.000 genericpath.py:16(exists)
       28    0.000    0.000    0.000    0.000 genericpath.py:27(isfile)
       16    0.000    0.000    0.000    0.000 gettext.py:113(_expand_lang)
        8    0.000    0.000    0.001    0.000 gettext.py:369(find)
        8    0.000    0.000    0.001    0.000 gettext.py:409(translation)
        8    0.000    0.000    0.001    0.000 gettext.py:475(dgettext)
        8    0.000    0.000    0.001    0.000 gettext.py:513(gettext)
      257    0.000    0.000    0.000    0.000 hashlib.py:145(<genexpr>)
      257    0.000    0.000    0.000    0.000 hashlib.py:146(<genexpr>)
        1    0.000    0.000    0.001    0.001 hashlib.py:53(<module>)
        6    0.000    0.000    0.000    0.000 hashlib.py:98(__get_openssl_constructor)
        1    0.000    0.000    0.000    0.000 header.py:179(Header)
        1    0.000    0.000    0.000    0.000 header.py:413(_ValueFormatter)
        1    0.000    0.000    0.001    0.001 header.py:5(<module>)
        1    0.000    0.000    0.000    0.000 header.py:541(_Accumulator)
      257    0.000    0.000    0.000    0.000 hmac.py:10(<genexpr>)
      257    0.000    0.000    0.000    0.000 hmac.py:11(<genexpr>)
        1    0.000    0.000    0.000    0.000 hmac.py:19(HMAC)
        1    0.000    0.000    0.000    0.000 hmac.py:4(<module>)
        1    0.000    0.000    0.000    0.000 hooks.py:13(<module>)
        1    0.000    0.000    0.007    0.007 httpsrv.py:1(<module>)
        1    0.000    0.000    0.000    0.000 httpsrv.py:25(BusHTTPServer)
        1    0.000    0.000    0.000    0.000 httpsrv.py:4(BusHTTPRequestHandler)
        1    0.000    0.000    0.000    0.000 idna.py:146(Codec)
        1    0.000    0.000    0.000    0.000 idna.py:218(IncrementalEncoder)
        1    0.000    0.000    0.000    0.000 idna.py:253(IncrementalDecoder)
        1    0.000    0.000    0.000    0.000 idna.py:292(StreamWriter)
        1    0.000    0.000    0.000    0.000 idna.py:295(StreamReader)
        1    0.000    0.000    0.002    0.002 idna.py:3(<module>)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1049(_BaseV4)
       18    0.000    0.000    0.000    0.000 ipaddress.py:1075(_make_netmask)
       19    0.000    0.000    0.000    0.000 ipaddress.py:1099(_ip_int_from_string)
       76    0.000    0.000    0.000    0.000 ipaddress.py:1125(_parse_octet)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1245(IPv4Address)
       64    0.000    0.000    0.000    0.000 ipaddress.py:1251(__init__)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1357(IPv4Interface)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1439(IPv4Network)
       18    0.000    0.000    0.000    0.000 ipaddress.py:1454(__init__)
        1    0.000    0.000    0.001    0.001 ipaddress.py:1553(_IPv4Constants)
       46    0.000    0.000    0.000    0.000 ipaddress.py:158(_split_optional_netmask)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1585(_BaseV6)
       28    0.000    0.000    0.000    0.000 ipaddress.py:1605(_make_netmask)
       28    0.000    0.000    0.000    0.000 ipaddress.py:1623(_ip_int_from_string)
       31    0.000    0.000    0.000    0.000 ipaddress.py:1727(_parse_hextet)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1869(IPv6Address)
       99    0.000    0.000    0.000    0.000 ipaddress.py:1875(__init__)
        1    0.000    0.000    0.000    0.000 ipaddress.py:19(AddressValueError)
        1    0.000    0.000    0.000    0.000 ipaddress.py:2049(IPv6Interface)
        1    0.000    0.000    0.000    0.000 ipaddress.py:2135(IPv6Network)
       28    0.000    0.000    0.001    0.000 ipaddress.py:2151(__init__)
        1    0.000    0.000    0.001    0.001 ipaddress.py:2257(_IPv6Constants)
        1    0.000    0.000    0.000    0.000 ipaddress.py:23(NetmaskValueError)
        1    0.000    0.000    0.000    0.000 ipaddress.py:385(_IPAddressBase)
      162    0.000    0.000    0.000    0.000 ipaddress.py:417(_check_int_address)
       24    0.000    0.000    0.000    0.000 ipaddress.py:433(_ip_int_from_prefix)
       24    0.000    0.000    0.000    0.000 ipaddress.py:476(_prefix_from_prefix_string)
        1    0.000    0.000    0.000    0.000 ipaddress.py:539(_BaseAddress)
      184    0.000    0.000    0.000    0.000 ipaddress.py:550(__int__)
       46    0.000    0.000    0.000    0.000 ipaddress.py:553(__eq__)
        1    0.000    0.000    0.000    0.000 ipaddress.py:598(_BaseNetwork)
       46    0.000    0.000    0.000    0.000 ipaddress.py:607(__init__)
        1    0.000    0.000    0.002    0.002 ipaddress.py:9(<module>)
        1    0.000    0.000    0.000    0.000 iterators.py:5(<module>)
        1    0.000    0.000    0.003    0.003 linecache.py:6(<module>)
        1    0.000    0.000    0.003    0.003 loader.py:1(<module>)
        1    0.000    0.000    0.000    0.000 loader.py:23(_FailedTest)
        1    0.000    0.000    0.000    0.000 loader.py:66(TestLoader)
        1    0.000    0.000    0.000    0.000 loader.py:76(__init__)
        1    0.000    0.000    0.000    0.000 loader.py:97(loadTestsFromModule)
        8    0.000    0.000    0.000    0.000 locale.py:342(_replace_encoding)
       16    0.000    0.000    0.000    0.000 locale.py:376(normalize)
        1    0.000    0.000    0.000    0.000 lzma.py:37(LZMAFile)
        1    0.000    0.000    0.001    0.001 lzma.py:9(<module>)
        1    0.000    0.000    0.007    0.007 main.py:1(<module>)
        1    0.000    0.000    0.003    0.003 main.py:113(parseArgs)
        1    0.000    0.000    0.000    0.000 main.py:142(createTests)
        1    0.000    0.000    0.003    0.003 main.py:149(_initArgParsers)
        1    0.000    0.000    0.001    0.001 main.py:154(_getParentArgParser)
        1    0.000    0.000    0.001    0.001 main.py:184(_getMainArgParser)
        1    0.000    0.000    0.001    0.001 main.py:195(_getDiscoveryArgParser)
        1    0.000    0.000    0.000    0.000 main.py:230(runTests)
        1    0.000    0.000    0.000    0.000 main.py:48(TestProgram)
        1    0.000    0.000    0.004    0.004 main.py:58(__init__)
        1    0.000    0.000    0.000    0.000 message.py:106(Message)
        1    0.000    0.000    0.000    0.000 message.py:1140(EmailMessage)
        1    0.000    0.000    0.017    0.017 message.py:5(<module>)
        1    0.000    0.000    0.000    0.000 message.py:946(MIMEPart)
        1    0.000    0.000    0.006    0.006 mimetypes.py:194(read)
        1    0.003    0.003    0.006    0.006 mimetypes.py:205(readfp)
        1    0.000    0.000    0.000    0.000 mimetypes.py:24(<module>)
        1    0.000    0.000    0.006    0.006 mimetypes.py:342(init)
        1    0.000    0.000    0.000    0.000 mimetypes.py:373(_default_mime_types)
        1    0.000    0.000    0.000    0.000 mimetypes.py:56(MimeTypes)
        1    0.000    0.000    0.000    0.000 mimetypes.py:64(__init__)
     1133    0.001    0.000    0.001    0.000 mimetypes.py:78(add_type)
        1    0.000    0.000    0.000    0.000 models.py:169(RequestHooksMixin)
        1    0.000    0.000    0.000    0.000 models.py:193(Request)
        1    0.000    0.000    0.000    0.000 models.py:262(PreparedRequest)
        1    0.000    0.000    0.000    0.000 models.py:581(Response)
        1    0.000    0.000    0.000    0.000 models.py:59(RequestEncodingMixin)
        1    0.000    0.000    0.005    0.005 models.py:8(<module>)
        1    0.000    0.000    0.000    0.000 os.py:40(_get_exports_list)
        1    0.000    0.000    0.000    0.000 os.py:44(<listcomp>)
       62    0.000    0.000    0.000    0.000 os.py:678(__getitem__)
       62    0.000    0.000    0.000    0.000 os.py:754(encode)
       12    0.000    0.000    0.000    0.000 os.py:758(decode)
        1    0.000    0.000    0.000    0.000 parse.py:117(_ResultMixinStr)
        1    0.000    0.000    0.000    0.000 parse.py:125(_ResultMixinBytes)
        1    0.000    0.000    0.000    0.000 parse.py:133(_NetlocResultMixinBase)
        1    0.000    0.000    0.000    0.000 parse.py:165(_NetlocResultMixinStr)
        1    0.000    0.000    0.000    0.000 parse.py:195(_NetlocResultMixinBytes)
        1    0.000    0.000    0.000    0.000 parse.py:237(DefragResult)
        1    0.000    0.000    0.000    0.000 parse.py:245(SplitResult)
        1    0.000    0.000    0.000    0.000 parse.py:250(ParseResult)
        1    0.000    0.000    0.000    0.000 parse.py:256(DefragResultBytes)
        1    0.000    0.000    0.000    0.000 parse.py:264(SplitResultBytes)
        1    0.000    0.000    0.000    0.000 parse.py:269(ParseResultBytes)
        1    0.000    0.000    0.000    0.000 parse.py:275(_fix_result_transcoding)
        1    0.000    0.000    0.002    0.002 parse.py:28(<module>)
        1    0.000    0.000    0.000    0.000 parse.py:648(Quoter)
        1    0.000    0.000    0.000    0.000 parser.py:127(BytesHeaderParser)
        1    0.000    0.000    0.000    0.000 parser.py:17(Parser)
        1    0.000    0.000    0.021    0.021 parser.py:5(<module>)
        1    0.000    0.000    0.000    0.000 parser.py:72(HeaderParser)
        1    0.000    0.000    0.000    0.000 parser.py:80(BytesParser)
        1    0.000    0.000    0.003    0.003 poolmanager.py:1(<module>)
        1    0.000    0.000    0.000    0.000 poolmanager.py:275(ProxyManager)
        1    0.000    0.000    0.000    0.000 poolmanager.py:83(PoolManager)
       16    0.000    0.000    0.000    0.000 posixpath.py:136(basename)
        1    0.000    0.000    0.000    0.000 posixpath.py:145(dirname)
        2    0.000    0.000    0.000    0.000 posixpath.py:221(expanduser)
       68    0.000    0.000    0.000    0.000 posixpath.py:39(_get_sep)
        1    0.000    0.000    0.000    0.000 posixpath.py:50(normcase)
       49    0.000    0.000    0.000    0.000 posixpath.py:71(join)
        1    0.000    0.000    0.000    0.000 pprint.py:35(<module>)
        1    0.000    0.000    0.000    0.000 pprint.py:72(_safe_key)
        1    0.000    0.000    0.000    0.000 pprint.py:98(PrettyPrinter)
        1    0.000    0.000    0.000    0.000 pyopenssl.py:43(<module>)
        1    0.000    0.000    0.000    0.000 queue.py:1(<module>)
        1    0.000    0.000    0.000    0.000 queue.py:13(Empty)
        1    0.000    0.000    0.000    0.000 queue.py:17(Full)
        1    0.000    0.000    0.000    0.000 queue.py:21(Queue)
        1    0.000    0.000    0.000    0.000 queue.py:214(PriorityQueue)
        1    0.000    0.000    0.000    0.000 queue.py:233(LifoQueue)
        1    0.000    0.000    0.000    0.000 quopri.py:3(<module>)
        1    0.000    0.000    0.000    0.000 quoprimime.py:27(<module>)
        1    0.000    0.000    0.000    0.000 quoprimime.py:55(<listcomp>)
        1    0.000    0.000    0.002    0.002 random.py:37(<module>)
        1    0.000    0.000    0.000    0.000 random.py:639(SystemRandom)
        1    0.000    0.000    0.000    0.000 random.py:68(Random)
        1    0.000    0.000    0.000    0.000 random.py:84(__init__)
        1    0.000    0.000    0.000    0.000 random.py:93(seed)
        1    0.000    0.000    0.000    0.000 re.py:160(match)
      101    0.000    0.000    0.024    0.000 re.py:222(compile)
        1    0.000    0.000    0.000    0.000 re.py:240(escape)
      102    0.001    0.000    0.024    0.000 re.py:278(_compile)
        2    0.000    0.000    0.012    0.006 request.py:1(<module>)
        1    0.000    0.000    0.000    0.000 request.py:10(RequestMethods)
        1    0.000    0.000    0.000    0.000 request.py:1122(HTTPDigestAuthHandler)
        1    0.000    0.000    0.000    0.000 request.py:1140(ProxyDigestAuthHandler)
        1    0.000    0.000    0.000    0.000 request.py:1152(AbstractHTTPHandler)
        1    0.000    0.000    0.000    0.000 request.py:1265(HTTPHandler)
        1    0.000    0.000    0.000    0.000 request.py:1274(HTTPSHandler)
        1    0.000    0.000    0.000    0.000 request.py:1289(HTTPCookieProcessor)
        1    0.000    0.000    0.000    0.000 request.py:1307(UnknownHandler)
        1    0.000    0.000    0.000    0.000 request.py:1365(FileHandler)
        1    0.000    0.000    0.000    0.000 request.py:1423(FTPHandler)
        1    0.000    0.000    0.000    0.000 request.py:1481(CacheFTPHandler)
        1    0.000    0.000    0.000    0.000 request.py:1534(DataHandler)
        1    0.000    0.000    0.000    0.000 request.py:1591(URLopener)
        1    0.000    0.000    0.000    0.000 request.py:2037(FancyURLopener)
        1    0.000    0.000    0.000    0.000 request.py:2288(ftpwrapper)
        1    0.000    0.000    0.000    0.000 request.py:263(Request)
        1    0.000    0.000    0.000    0.000 request.py:373(OpenerDirector)
        1    0.000    0.000    0.000    0.000 request.py:551(BaseHandler)
        1    0.000    0.000    0.000    0.000 request.py:570(HTTPErrorProcessor)
        1    0.000    0.000    0.000    0.000 request.py:587(HTTPDefaultErrorHandler)
        1    0.000    0.000    0.000    0.000 request.py:591(HTTPRedirectHandler)
        1    0.000    0.000    0.004    0.004 request.py:68(<module>)
        1    0.000    0.000    0.000    0.000 request.py:724(ProxyHandler)
        1    0.000    0.000    0.000    0.000 request.py:766(HTTPPasswordMgr)
        1    0.000    0.000    0.000    0.000 request.py:830(HTTPPasswordMgrWithDefaultRealm)
        1    0.000    0.000    0.000    0.000 request.py:840(HTTPPasswordMgrWithPriorAuth)
        1    0.000    0.000    0.000    0.000 request.py:871(AbstractBasicAuthHandler)
        1    0.000    0.000    0.000    0.000 request.py:951(HTTPBasicAuthHandler)
        1    0.000    0.000    0.000    0.000 request.py:962(ProxyBasicAuthHandler)
        1    0.000    0.000    0.000    0.000 request.py:981(AbstractDigestAuthHandler)
        2    0.000    0.000    0.001    0.000 response.py:1(<module>)
        1    0.000    0.000    0.000    0.000 response.py:14(addbase)
        1    0.000    0.000    0.000    0.000 response.py:22(DeflateDecoder)
        1    0.000    0.000    0.000    0.000 response.py:37(addclosehook)
        1    0.000    0.000    0.000    0.000 response.py:51(GzipDecoder)
        1    0.000    0.000    0.000    0.000 response.py:57(addinfo)
